Beneficiary Name,Father Name,DOB,Aadhaar No,Village,Block
भगवती उप्रेती,चन्द्रशेखर,06-10-2021,993695326375,Khatyari,Chaukhutia
राधा कोहली,उदय कोहली,16-03-2019,,Masi,Chaukhutia
उमा आर्य,भरत लाल आर्य,30-10-2012,838583160420,Aradi Bisht,Syaldey
Tanvi Pant,,12-05-2016,,Kheti,
हरुली मेहता,राजेन्द्र सिंह मेहता,01-01-2027,,Salna,Dwarahat
नीमा मेहरा,विनोद मेहरा,12-11-2021,727415013260,Satyu,Lamgara
भगवती आर्या,मदन लाल आर्या,20-11-2025,377615057806,Ida,Dwarahat
हंसी भण्डारी,रघुवीर,01-01-2024,799834205824,Aina,Dwarahat
नेहा आर्या,गणेश,23-05-2019,,Chauna,Hawalbag
गोविन्दी आर्य,खीम राम आर्य,31-12-2019,277401260007,Manuli,Sult
गोविन्दी कार्की,गोविन्द,07-11-2018,,Karakot,Tarikhet
मीना परिहार,भगवान,13-03-2026,,Naikana,Sult
मोहिनी,बलवन्त लाल,01-01-2026,,Pankot,Hawalbag
Diya Arya,,20-11-2010,,Majgaon,
हेमा डसीला,त्रिलोक,05-02-2015,,Kanekhalpati,Sult
हरुली कोहली,पूरन लाल कोहली,17-09-2024,980795984954,Salla Bhatkot,Bhaisiachhana
सीता आर्या,गोपाल राम आर्या,01-01-2020,544998593691,Chauna,Tarikhet
जानकी लोहनी,विकास लोहनी,18-07-2007,851452980431,Sunoli,Syaldey
कवितता रावत,दयाल सिंह रावत,29-01-2007,863245378904,Malaunj,Takula
दीपा जोशी,केशव जोशी,01-01-2017,718698783659,Sakuni,Dwarahat
बसन्ती खाती,प्रताप सिंह खाती,12-08-2020,289708634103,Qweta,Lamgara
लक्ष्मी जीना,हरि सिंह,08-11-2003,,Naughar,Tarikhet
जानकी बिष्ट,राजेन्द्र,30-12-2025,,Bhikiyasain,Bhikiasain
भगवती आर्या,पंकज लाल आर्या,01-01-2018,,Chamini,Dwarahat
Kritika Arya,,12-08-2012,,Jhaldungara,
गंगा नेगी,रमेश सिंह नेगी,18-03-2021,,Matkhani,Syaldey
हेमा कोहली,मनोज राम,02-07-2021,593995314680,Kaula,Dwarahat
नीमा रावत,किशन सिंह,05-05-2026,414379644689,Doghouria,Lamgara
शान्ति,हरीश,17-12-2013,735819120089,Raun,Hawalbag
सरस्वती परिहार,नन्दन परिहार,01-01-2023,736795139491,Riyuni Talli,Dwarahat
मोहिन ीमनराल,पंकज सिंह मनराल,29-11-2017,312147032390,Ringadia,Bhikiasain
मालती भट्ट,बहादुर भट्ट,13-11-2019,526484870867,Melgaon,Dhauladevi
प्रियंका लोहनी,प्रकाश चन्द्र,13-01-2022,,Riwali Palli,Sult
Aarohi Arya,,23-02-2010,,Chaunia,
हेमा,भगवान सिंह,12-09-2018,638196620461,Ghanyal Palla,Syaldey
Aarohi Tamta,,12-08-2025,,Dhyuli Dhauni,
हंसी पाण्डे,मदन दत्त,11-04-2012,721250927619,Tana Sajoli,Takula
विमला फर्त्याल,भगवान,23-11-2018,429349846257,Nirai,Takula
बसन्ती बिष्ट,बहादुर सिंह बिष्ट,01-01-2011,,Chaundungri,Dhauladevi
हरुली खाती,सुन्दर खाती,01-01-2022,855575064860,Naubara,Bhikiasain
विमला पाण्डे,केशव दत्त पाण्डे,10-07-2008,,Pokhari Malli,Sult
दु्रगा टम्टा,राकेश टम्टा,29-11-2021,431851464468,Sunoli,Takula
भागीरथी टम्टा,बलवन्त,02-06-2026,,Charikyari,Sult
तुलसी मेहता,जीवन मेहता,01-01-2021,536294618399,Ujrad,Sult
Mansi Tamta,,03-12-2014,,Dhuratank,
दीपिका अधिकारी,मोहन सिंह,07-09-2013,237544490318,Jamria,Sult
कविता बिष्ट,गोपाल सिंह बिष्ट,01-01-2010,448502421893,Aradi Bisht,Syaldey
